ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,Year,T,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus,M,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,F,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus
Tanzania,TZ,RUKWA,TZ15,NKASI,TZ1503,2020,375692,75182,62419,50891,39979,31249,26579,22082,17855,13765,9667,7501,6003,4903,3118,2134,1363,1002,187907,37716,31252,25550,19640,15183,13351,11308,9174,7218,5247,3770,2904,2261,1352,1005,572,404,187785,37466,31167,25341,20339,16066,13228,10774,8681,6547,4420,3731,3099,2642,1766,1129,791,598
Tanzania,TZ,RUKWA,TZ15,SUMBAWANGA MUNICIPAL,TZ1504,2020,290863,46712,42862,40572,36663,29435,23208,18444,14538,10940,7858,5719,4510,3556,2498,1606,998,744,143863,23461,21119,19620,18101,15031,11677,9211,7277,5493,4028,2852,2174,1511,999,618,426,265,147000,23251,21743,20952,18562,14404,11531,9233,7261,5447,3830,2867,2336,2045,1499,988,572,479
Tanzania,TZ,KIGOMA,TZ16,KIBONDO,TZ1601,2020,323805,63254,50355,44958,35612,27548,21606,16729,14774,12222,9161,7747,5415,4784,3547,2775,1633,1685,158845,31748,25400,22143,17254,14141,11119,8249,7082,5688,4617,3427,2440,1816,1329,1062,681,649,164960,31506,24955,22815,18358,13407,10487,8480,7692,6534,4544,4320,2975,2968,2218,1713,952,1036
Tanzania,TZ,KIGOMA,TZ16,KASULU,TZ1602,2020,391170,82644,61808,51977,41844,31333,24989,21180,17411,14788,10864,9028,6182,5737,3841,3509,1835,2200,194638,41357,31381,26522,21372,15311,12408,10358,8570,7241,5808,4501,3058,2286,1498,1360,748,859,196532,41287,30427,25455,20472,16022,12581,10822,8841,7547,5056,4527,3124,3451,2343,2149,1087,1341
Tanzania,TZ,KIGOMA,TZ16,KIGOMA,TZ1603,2020,228803,39755,33817,32153,26965,18718,14133,11766,10685,9598,7603,6628,4771,4065,2746,2503,1391,1506,112352,20202,17416,16453,13808,9097,6584,5377,4846,4227,3816,3258,2325,1583,1171,985,591,613,116451,19553,16401,15700,13157,9621,7549,6389,5839,5371,3787,3370,2446,2482,1575,1518,800,893
Tanzania,TZ,KIGOMA,TZ16,KIGOMA UJIJI MUNICIPAL,TZ1604,2020,306793,45093,40135,41713,42685,30643,22683,18601,16278,13659,9941,8309,5810,4118,2802,2069,1097,1157,152150,22796,20298,20464,21144,16079,10990,8886,7998,6709,5227,4149,3072,1681,1122,739,456,340,154643,22297,19837,21249,21541,14564,11693,9715,8280,6950,4714,4160,2738,2437,1680,1330,641,817
Tanzania,TZ,KIGOMA,TZ16,UVINZA,TZ1605,2020,509126,98838,78939,66714,53525,41341,35229,29373,25383,21540,15367,13034,9058,7278,4935,4093,2151,2328,256824,49899,39998,34112,27613,20409,17456,14632,12825,10929,8289,6802,4735,3305,2247,1764,927,882,252302,48939,38941,32602,25912,20932,17773,14741,12558,10611,7078,6232,4323,3973,2688,2329,1224,1446
Tanzania,TZ,KIGOMA,TZ16,BUHIGWE,TZ1606,2020,337504,65527,51265,45923,36596,26223,20939,17495,16070,14040,10356,8817,6418,5806,4137,3630,1945,2317,163872,33290,25983,23292,17836,12049,9827,7917,7691,6534,5248,4198,3032,2281,1589,1372,810,923,173632,32237,25282,22631,18760,14174,11112,9578,8379,7506,5108,4619,3386,3525,2548,2258,1135,1394
Tanzania,TZ,KIGOMA,TZ16,KAKONKO,TZ1607,2020,149909,29264,23137,21175,15658,11603,9123,7429,7020,6186,4758,4051,3076,2363,1810,1479,787,990,74296,14737,11720,10687,7754,5899,4799,3702,3381,2900,2491,1892,1509,922,686,546,299,372,75613,14527,11417,10488,7904,5704,4324,3727,3639,3286,2267,2159,1567,1441,1124,933,488,618
Tanzania,TZ,KIGOMA,TZ16,KASULU TOWN,TZ1608,2020,230686,40877,34488,31866,28090,19651,14945,12884,11498,9348,6825,5356,3929,3408,2608,2230,1296,1387,112773,20841,17371,15755,13908,9527,7160,6230,5470,4372,3547,2633,1863,1327,969,777,539,484,117913,20036,17117,16111,14182,10124,7785,6654,6028,4976,3278,2723,2066,2081,1639,1453,757,903
Tanzania,TZ,SHINYANGA,TZ17,SHINYANGA MUNICIPAL,TZ1701,2020,187876,25966,23947,23471,23638,20599,15216,12449,10476,8821,6485,5116,3793,2828,2024,1511,867,669,93843,12998,12168,11616,11747,10686,7655,6175,5128,4381,3442,2637,1870,1282,855,622,347,234,94033,12968,11779,11855,11891,9913,7561,6274,5348,4440,3043,2479,1923,1546,1169,889,520,435
Tanzania,TZ,SHINYANGA,TZ17,KISHAPU,TZ1702,2020,320311,57494,49600,42567,35621,29021,20792,17423,15417,14231,9936,7944,5472,4760,3828,2894,1859,1452,162706,29305,25348,21656,18563,15013,10780,8857,7560,7096,5429,4101,2673,2095,1570,1240,806,614,157605,28189,24252,20911,17058,14008,10012,8566,7857,7135,4507,3843,2799,2665,2258,1654,1053,838
Tanzania,TZ,SHINYANGA,TZ17,SHINYANGA,TZ1703,2020,407334,76558,65750,55032,45354,35301,25865,21746,18941,16741,11743,9499,6625,5688,4730,3479,2372,1910,203439,38857,33436,27786,23220,18065,12755,10689,8961,8255,6129,4661,3116,2408,1867,1448,1028,758,203895,37701,32314,27246,22134,17236,13110,11057,9980,8486,5614,4838,3509,3280,2863,2031,1344,1152
Tanzania,TZ,SHINYANGA,TZ17,KAHAMA,TZ1704,2020,639206,123398,103344,88249,73222,56619,42632,34659,29511,24650,17075,13988,9137,7724,5794,4280,2657,2267,320955,62547,52336,45013,36964,28494,21266,17157,14396,12217,9056,7160,4415,3445,2405,1901,1191,992,318251,60851,51008,43236,36258,28125,21366,17502,15115,12433,8019,6828,4722,4279,3389,2379,1466,1275
Tanzania,TZ,SHINYANGA,TZ17,KAHAMA TOWN,TZ1705,2020,339957,54892,46536,42405,41259,36006,29041,23412,18678,14005,9338,7083,5088,4019,3165,2288,1511,1231,169073,27547,23066,21016,19850,17383,14715,12231,9896,7333,5141,3624,2428,1675,1195,899,633,441,170884,27345,23470,21389,21409,18623,14326,11181,8782,6672,4197,3459,2660,2344,1970,1389,878,790
Tanzania,TZ,KAGERA,TZ18,KARAGWE,TZ1801,2020,514498,91305,73308,71077,57459,42452,36219,31228,27085,22719,17454,12444,9604,7724,5801,3747,2816,2056,260164,46024,36888,35456,29893,22454,19250,16309,13893,11547,9334,6089,4295,3194,2272,1424,1094,748,254334,45281,36420,35621,27566,19998,16969,14919,13192,11172,8120,6355,5309,4530,3529,2323,1722,1308
Tanzania,TZ,KAGERA,TZ18,BUKOBA,TZ1802,2020,352127,55055,52644,51684,37791,24081,21945,21682,20366,17128,12562,8991,7757,6102,5159,3881,3002,2297,175982,27859,26723,26664,20639,12050,10573,10674,10135,8754,6784,4269,3486,2301,1786,1362,1147,776,176145,27196,25921,25020,17152,12031,11372,11008,10231,8374,5778,4722,4271,3801,3373,2519,1855,1521
Tanzania,TZ,KAGERA,TZ18,MULEBA,TZ1803,2020,731109,124764,110362,102484,80554,54437,48964,45488,41156,32557,24065,17264,14150,10975,8485,6326,5158,3920,370092,62199,56276,52198,42430,27840,24920,23619,21192,16805,13227,8741,6837,4515,3362,2465,2052,1414,361017,62565,54086,50286,38124,26597,24044,21869,19964,15752,10838,8523,7313,6460,5123,3861,3106,2506
Tanzania,TZ,KAGERA,TZ18,BIHARAMULO,TZ1804,2020,587544,125107,97646,78709,62075,48721,37832,30767,27525,22193,16180,12534,8531,6989,5128,3635,2152,1820,298505,63193,48915,39857,31796,25216,19503,15822,14049,11364,8950,6613,4214,3092,2318,1708,1064,831,289039,61914,48731,38852,30279,23505,18329,14945,13476,10829,7230,5921,4317,3897,2810,1927,1088,989
Tanzania,TZ,KAGERA,TZ18,NGARA,TZ1805,2020,324191,64479,49061,43791,34352,26635,21623,18024,16208,12871,9873,8323,5808,4845,3381,2305,1379,1233,158157,32377,24436,21894,17058,12777,10411,8518,7625,6039,4940,3882,2798,2075,1434,865,557,471,166034,32102,24625,21897,17294,13858,11212,9506,8583,6832,4933,4441,3010,2770,1947,1440,822,762
Tanzania,TZ,KAGERA,TZ18,BUKOBA MUNICIPAL,TZ1806,2020,192389,27397,22393,21760,26105,21498,18693,15239,12375,8744,6117,3897,3028,1718,1389,914,652,470,96207,13961,11044,10215,12409,10870,9525,8028,6606,4650,3509,2026,1460,738,504,285,241,136,96182,13436,11349,11545,13696,10628,9168,7211,5769,4094,2608,1871,1568,980,885,629,411,334
Tanzania,TZ,KAGERA,TZ18,MISSENYI,TZ1807,2020,267161,41887,37740,37340,29814,21215,18083,16810,14710,12487,9412,7161,5564,4852,3590,2798,2175,1523,135463,20939,19306,19246,15998,11132,9347,8629,7470,6403,5144,3509,2624,1958,1348,1024,824,562,131698,20948,18434,18094,13816,10083,8736,8181,7240,6084,4268,3652,2940,2894,2242,1774,1351,961
Tanzania,TZ,KAGERA,TZ18,KYERWA,TZ1808,2020,451170,83795,69754,64946,48817,36003,31284,26649,23196,19081,14341,9813,7617,5722,4097,2651,1895,1509,226960,42166,35378,32290,25402,18222,16200,13626,11720,9528,7450,4803,3461,2495,1664,1131,800,624,224210,41629,34376,32656,23415,17781,15084,13023,11476,9553,6891,5010,4156,3227,2433,1520,1095,885
Tanzania,TZ,MWANZA,TZ19,UKEREWE,TZ1901,2020,443073,81297,67547,59282,47311,35775,29041,27212,23019,19151,15788,10694,8074,6139,4627,3553,2600,1963,221260,40939,34349,30512,24917,18188,14059,13254,11227,9481,7290,5425,3830,2610,1925,1478,1044,732,221813,40358,33198,28770,22394,17587,14982,13958,11792,9670,8498,5269,4244,3529,2702,2075,1556,1231
Tanzania,TZ,MWANZA,TZ19,MAGU,TZ1902,2020,370502,66745,58289,50958,41251,31384,23733,20915,18092,15589,12973,8895,5793,5313,3975,3122,1993,1482,185503,33755,29568,25727,21597,16189,11710,10239,8972,7623,5902,4491,2903,2340,1654,1332,891,610,184999,32990,28721,25231,19654,15195,12023,10676,9120,7966,7071,4404,2890,2973,2321,1790,1102,872
